track_name,artist_name,album,genres,release_date,duration_ms,popularity,added_at
don't miss me,Claire Rosinkranz,don’t miss me,"alt z, modern indie pop",2021-11-22,123949,58,2024-04-24 12:08:20
Cruise Control,"Lyn Lapid, Whethan",Cruise Control,gen z singer-songwriter,2024-03-29,155486,55,2024-04-24 10:28:58
Loved By You,David Alexander,Loved By You,gen z singer-songwriter,2024-03-29,171840,30,2024-04-24 10:25:15
Heaven - Acoustic,Niall Horan,Meltdown (Acoustic),pop,2023-05-19,183644,23,2024-04-23 12:20:04
Heaven - Live from Spotify Studios,Niall Horan,Live from Spotify Studios,pop,2024-02-13,189332,36,2024-04-23 12:12:31
Meltdown - Live from Spotify Studios,Niall Horan,Live from Spotify Studios,pop,2024-02-13,230161,32,2024-04-23 12:12:23
If You Leave Me,Niall Horan,The Show,pop,2023-06-09,179043,57,2024-04-23 12:12:15
Heaven,Niall Horan,The Show,pop,2023-06-09,186043,72,2024-04-23 12:10:27
On A Night Like Tonight,Niall Horan,The Show,pop,2023-06-09,187533,59,2024-04-23 12:06:12
Out Of The Blue,Jake Scott,Lavender,"indiecoustica, singer-songwriter pop",2023-10-20,170877,24,2024-04-23 11:00:53
One On The Way - Strings,Jake Scott,One On The Way (Strings),"indiecoustica, singer-songwriter pop",2024-03-15,228407,23,2024-04-23 10:56:59
Hearts A Mess,Blake Rose,A World Gone By,"australian electropop, singer-songwriter pop",2021-10-08,244456,24,2024-04-23 10:53:30
Ordinary People,Blake Rose,A World Gone By,"australian electropop, singer-songwriter pop",2021-10-08,253597,47,2024-04-23 10:48:59
Movie,Blake Rose,A World Gone By,"australian electropop, singer-songwriter pop",2021-10-08,247289,34,2024-04-23 10:45:25
Rollerblades,Blake Rose,A World Gone By,"australian electropop, singer-songwriter pop",2021-10-08,214617,34,2024-04-23 10:38:36
Casanova,Blake Rose,A World Gone By,"australian electropop, singer-songwriter pop",2021-10-08,181043,41,2024-04-23 10:38:13
Dizzy,Blake Rose,You'll Get It When You're Older,"australian electropop, singer-songwriter pop",2023-02-24,184347,30,2024-04-23 10:33:36
